%% LaTeX2e file `BruteForce.dat'
%% generated by the `filecontents' environment
%% from source `LR_6' on 2019/12/17.
%%
2 0
3 0
4 0
5 0
6 0
7 1
8 6.005
9 23.02
10 110.099
11 51.046
12 1055.96
13 26673.2
14 15486.4
15 129513
16 866083
17 1.96682e+006


