0.25,0.75,290,0.05
0.25,0.75,250,0.09
0.25,0.75,280,0.09
0.25,0.75,310,0.1
0.5,0.75,270,0.1
0.5,0.75,300,0.1
0.25,0.75,240,0.11
0.25,0.75,270,0.11
0.5,0.75,290,0.11
0.25,0.75,220,0.12
0.25,0.75,260,0.12
0.25,0.75,300,0.12
0.5,0.75,250,0.12
0.25,0.75,210,0.13
0.25,0.75,230,0.13
0.5,0.75,280,0.13
0.25,0.75,180,0.15
0.5,0.75,210,0.15
0.5,0.75,240,0.15
0.5,0.75,260,0.16
0.75,0.5,310,0.16
0.5,0.75,230,0.18
0.5,0.75,310,0.18
0.25,0.75,200,0.19
0.5,0.75,220,0.19
0.5,0.5,290,0.2
0.5,0.75,170,0.2
0.75,0.75,310,0.2
0.75,0.75,250,0.21
0.25,0.75,160,0.22
0.25,0.75,190,0.22
0.5,0.5,260,0.22
0.75,0.75,290,0.22
0.75,0.75,300,0.22
0.5,0.5,300,0.23
0.5,0.75,190,0.23
0.75,0.5,250,0.23
0.75,0.75,280,0.23
0.5,0.5,270,0.24
0.75,0.75,240,0.24
0.5,0.5,280,0.25
0.75,0.5,290,0.25
0.25,0.75,170,0.26
0.5,0.5,310,0.26
0.25,0.5,280,0.27
0.5,0.75,200,0.27
0.75,0.5,300,0.27
0.25,0.5,300,0.28
0.5,0.5,250,0.28
0.75,0.5,260,0.28
0.75,1,300,0.28
0.75,0.5,270,0.29
0,0.75,310,0.3
0.25,1,290,0.3
0.75,0.5,280,0.3
0.75,0.75,260,0.3
0.75,0.75,270,0.3
0.25,0.75,140,0.31
0.25,0.75,150,0.31
0.5,0.5,230,0.31
0.5,0.75,160,0.31
0,0.75,270,0.32
0.25,0.5,210,0.32
0.25,0.5,270,0.32
0.25,0.5,290,0.32
0.25,0.5,310,0.32
0.5,0.75,180,0.32
0.5,1,290,0.32
0.25,0.75,130,0.33
0.5,0.5,180,0.33
0.5,0.75,150,0.33
0.75,1,310,0.33
0,0.75,300,0.34
0.5,1,310,0.34
0.75,0.75,200,0.34
0.75,0.75,210,0.34
0.75,1,290,0.34
0,1,290,0.35
0.5,0.5,210,0.35
0.75,0.25,290,0.35
0.75,0.5,210,0.35
0.75,0.5,240,0.35
0,0.75,260,0.36
0.25,0.5,260,0.36
0.5,0.5,190,0.36
0.5,0.5,220,0.36
0.5,0.5,240,0.36
0.5,1,270,0.36
0.75,0.75,190,0.36
0.75,1,260,0.36
0.75,1,270,0.36
0.75,1,280,0.36
0.25,0.5,240,0.37
0.25,1,280,0.37
0.5,1,300,0.37
0.75,0.75,230,0.37
0.25,0.5,230,0.38
0.25,0.75,120,0.38
0.25,1,230,0.38
0,0.75,290,0.39
0,1,280,0.39
0.25,0.5,250,0.39
0.25,0.75,110,0.39
0.25,1,250,0.39
0.25,1,260,0.39
0.75,0.75,170,0.39
0.75,0.75,180,0.39
0.5,0.5,160,0.4
0.5,0.5,200,0.4
0.5,1,250,0.4
0.75,0.75,220,0.4
0,0.5,280,0.41
0,0.5,300,0.41
0,1,310,0.41
0.25,0.5,190,0.41
0.5,1,240,0.41
0.75,0.5,200,0.41
0.75,1,210,0.41
0.25,1,310,0.42
0.75,0.25,270,0.42
0.75,0.5,190,0.42
0.75,0.5,230,0.42
0.75,1,230,0.42
0,0.75,280,0.43
0.5,0.75,140,0.43
0.75,0.75,150,0.43
0.75,1,250,0.43
0,0.5,260,0.44
0.25,1,300,0.44
0.5,0.5,120,0.44
0.75,0.25,250,0.44
0.75,0.5,180,0.44
0,1,300,0.45
0.25,0.5,170,0.45
0.25,1,170,0.45
0.25,1,240,0.45
0.5,0.25,190,0.45
0.5,0.75,120,0.45
0.5,1,230,0.45
0.75,0.5,220,0.45
0.75,1,190,0.45
0,0.75,220,0.46
0.25,0.25,310,0.46
0.25,0.5,200,0.46
0.25,1,200,0.46
0.5,0.25,250,0.46
0.5,0.25,270,0.46
0.5,0.75,110,0.46
0.25,0.5,180,0.47
0.5,0.5,170,0.47
0.75,0.25,260,0.47
0.75,0.25,310,0.47
0,0.75,190,0.48
0,1,270,0.48
0.25,0.75,90,0.48
0.25,0.75,100,0.48
0.25,1,190,0.48
0.5,1,260,0.48
0.75,1,220,0.48
0,0.5,270,0.49
0,0.5,310,0.49
0.25,1,160,0.49
0.5,0.25,310,0.49
0.75,0.5,170,0.49
0.75,1,170,0.49
0,0.5,290,0.5
0,0.75,210,0.5
0,0.75,230,0.5
0.5,0.25,280,0.5
